año,tipo presupuesto,GASTOS EN PERSONAL,Servicios Extraordinarios,Horas Catedras,Resto,BIENES DE CONSUMO,SERVICIOS NO PERSONALES,Servicios Basicos,Viaticos y Movilidad,Gastos Funcionales Consejeros,Resto,BIENES DE USO,Otros,TOTAL
2020,techos,54229000,2693000,9280000,42256000,509000,11764000,1634000,1028400,4752000,4349600,3500000,3500000,70002000
2019,techos,51029000,2693000,5950000,42386000,509000,10264000,0,728400,4752000,4783600,1000000,1000000,62802000
2019,ejecutado,54294900,2111900,6346000,45837000,492500,10833900,1714000,906900,4623000,3590000,60000,60000,65681300
2018,techos,35883000,1665000,4313000,29905000,462000,9828000,1024000,728400,4752000,3323600,1350000,1350000,47523000
2018,ejecutado,40144360,1788200,5375000,32981160,457700,9694640,1230300,1092200,4397140,2975000,11100,11100,50307800
2017,techos,25257000,960000,2783000,21514000,469900,8744000,787500,297900,3369600,4289000,1350400,1350400,35821300
2017,ejecutado,30231890,1230000,4231700,24770190,403465,8558412,947312,820000,3901000,2890100,1251500,1251500,40445267
2016,techos,18513000,770000,2500000,15243000,343000,5512000,398000,283000,2808000,2023000,422000,422000,24790000
2016,ejecutado,23086700,926700,3169000,18991000,321810,5511237,729875,297615,2514806,1968941,244529,244529,29164276
2015,techos,11643000,673200,1844200,9125600,274000,4871000,309200,317000,2808000,1436800,422000,422000,17210000
2015,ejecutado,17475696,766600,2495000,14214096,243915,4684773,385810,233400,2761200,1304363,93945,93945,22498329
2014,techos,8845000,604400,1166800,7073800,181000,3307000,169600,317000,1944000,876400,422000,422000,12755000
2014,ejecutado,12333100,591500,1681300,10060300,171995,3169540,243180,209200,1804000,913160,94740,94800,15769375
2013,techos,7415700,541900,1166800,5707000,156800,2552000,147460,317000,1339200,748340,422000,422000,10546500
2013,ejecutado,8401581,435702,1261194,6704685,174540,2999836,177617,186430,1817700,818089,242283,242283,11818240
2012,techos,6947700,541900,1166800,5239000,156800,2552000,147460,317000,1339200,748340,422000,422000,10078500
2012,techos,6598142,371520,760172,5466450,113387,2065218,161370,206598,1158194,539056,123390,123390,8900137
